level,real,user,sys,succes
0,54.354,54.347,0.772,True
100,5489.302,5473.112,10.305,False
101,4848.497,4833.163,10.384,False
102,4955.816,4940.552,9.977,False
104,2972.208,2960.635,8.38,False
108,4162.289,4148.222,9.769,False
10,14.802,14.862,0.708,True
110,107.168,106.874,0.963,True
11,5084.555,5069.895,9.149,True
12,1.452,1.59,0.659,True
13,4.912,5.03,0.67,True
14,6709.823,6690.384,12.277,False
16,3623.023,3610.44,9.152,False
17,1.667,1.763,0.703,True
18,4811.013,4796.36,9.869,False
19,5788.283,5770.593,11.547,True
1,0.186,0.271,0.719,True
21,9.719,9.85,0.668,True
23,103.125,102.87700000000001,0.944,True
24,4620.765,4605.532,10.446,False
25,223.673,222.883,1.287,True
26,5010.418,4994.603,10.352,False
27,4901.327,4885.102,10.508,False
28,4124.167,4110.343,9.747,False
29,613.73,611.847,1.915,True
2,0.453,0.547,0.708,True
30,352.024,350.96500000000003,1.466,True
32,4517.447,4503.204,9.72,False
33,5001.813,4986.115,10.435,False
34,6581.781,6562.756,11.811,False
35,3560.341,3547.277,9.306,False
36,4258.207,4243.508,10.372,False
37,4407.748,4393.054,10.092,False
38,6132.419,6114.672,11.207,False
39,4137.039,4123.741,9.282,False
3,0.966,1.05,0.708,True
40,4606.034,4591.64,9.786,False
41,3847.123,3833.801,9.526,False
43,4256.702,4243.018,9.433,False
44,4134.883,4121.527,9.117,False
45,4237.678,4223.686,9.619,False
46,3948.024,3934.958,9.292,False
47,4526.272,4511.978,9.8,False
48,4838.656,4823.148,10.462,False
49,4809.989,4795.318,9.841,False
4,68.05199999999999,67.867,0.884,True
50,4782.032,4766.765,10.48,False
52,4902.847,4887.727,9.992,False
53,4468.429,4453.87,9.996,False
54,5933.386,5915.882,11.082,False
55,635.445,633.477,1.883,True
56,5556.15,5539.261,10.874,False
57,3705.922,3692.886,9.345,False
58,5617.467,5602.163,9.64,False
59,4624.397,4609.847,9.688,False
60,4423.07,4408.992,9.573,False
61,4707.701,4693.227,9.789,False
63,4270.506,4256.134,9.612,False
65,4693.656,4678.888,10.096,False
66,6904.59,6884.708,12.106,False
67,5151.402,5135.917,10.292,False
69,4983.994,4968.854,10.099,False
6,0.327,0.466,0.642,True
71,4090.492,4076.883,9.642,False
72,4435.569,4421.563,9.564,False
73,5581.299,5564.966,10.195,False
74,5864.272,5847.721,10.509,False
75,6971.125,6951.846,11.829,False
79,195.379,194.995,0.964,True
7,7.947,8.03,0.705,True
81,3855.507,3842.535,9.256,False
82,5824.62,5808.271,10.472,False
83,4801.197,4786.067,9.885,False
84,4773.881,4758.346,10.524,False
85,5781.852,5765.283,10.249,False
89,6367.881,6349.401,11.473,False
90,4195.3,4180.956,9.889,False
91,5196.88,5181.363,10.245,False
