level,real,user,sys,succes,boxes
0,10.097999999999999,9.456,0.258,True,4
100,322.844,317.988,4.762,False,14
101,246.688,241.94299999999998,4.745,False,16
102,276.281,271.855,4.4,False,16
104,256.861,250.18,4.823,False,18
108,336.6,328.98400000000004,5.4239999999999995,False,10
10,4.8580000000000005,4.822,0.172,True,5
110,13.609000000000002,13.368,0.28600000000000003,True,6
11,464.681,455.615,5.392,False,6
12,0.433,0.5,0.11,True,5
13,1.095,1.17,0.146,True,4
14,340.32,335.41900000000004,4.77,False,6
16,239.46200000000002,234.838,4.551,False,11
17,0.669,0.733,0.11699999999999999,True,4
18,256.697,252.31799999999998,4.4319999999999995,False,20
19,382.55,378.082,4.427,False,6
1,0.139,0.183,0.14,True,1
21,1.8090000000000002,1.89,0.146,True,4
23,19.774,19.621,0.316,True,7
24,275.27099999999996,271.0,4.293,False,10
25,42.7,42.339,0.556,True,8
26,282.786,278.411,4.407,False,8
27,337.829,333.4650000000001,4.324,False,7
28,229.78,225.755,4.087,False,10
29,75.543,74.554,1.099,True,6
2,0.276,0.319,0.111,True,3
30,49.126000000000005,48.744,0.57,True,6
32,244.298,239.74599999999998,4.593,False,16
33,309.257,304.813,4.433,False,10
34,328.639,324.302,4.327,False,8
35,256.275,251.93,4.373,False,11
36,296.197,291.759,4.447,False,9
37,301.156,297.098,4.05,False,10
38,264.377,260.01800000000003,4.3839999999999995,False,9
39,234.87,230.75,4.167,False,19
3,0.379,0.518,0.09,True,3
40,274.355,269.935,4.35,False,15
41,257.248,252.93099999999998,4.273,False,15
43,303.226,298.903,4.223,False,14
44,280.88,276.436,4.36,False,11
45,249.072,244.574,4.463,False,16
46,247.271,243.12099999999998,4.18,False,15
47,253.257,248.83599999999998,4.38,False,21
48,290.953,286.583,4.367,False,8
49,250.106,245.667,4.407,False,20
4,19.336,19.172,0.376,True,4
50,280.714,276.245,4.4830000000000005,False,20
52,295.08799999999997,290.496,4.5,False,13
53,253.21,248.817,4.423,False,11
54,291.882,287.305,4.5,False,9
55,110.523,109.443,1.213,True,6
56,292.42400000000004,288.092,4.324,False,13
57,260.324,256.105,4.24,False,13
58,232.858,228.068,4.7330000000000005,False,25
59,230.82299999999998,226.485,4.3260000000000005,False,12
60,233.86700000000002,229.627,4.294,False,17
61,237.011,232.764,4.227,False,15
63,256.281,252.261,4.04,False,13
65,272.721,268.25,4.4830000000000005,False,20
66,332.481,327.903,4.55,False,6
67,268.524,264.153,4.324,False,14
69,266.418,261.861,4.516,False,16
6,0.134,0.237,0.127,True,3
71,218.467,214.185,4.343999999999999,False,16
72,277.791,273.425,4.367,False,13
73,276.555,271.999,4.58,False,15
74,253.18200000000002,248.797,4.35,False,18
75,283.661,278.875,4.8,False,11
79,36.486999999999995,36.256,0.413,True,6
7,1.9480000000000002,2.023,0.153,True,4
81,263.64099999999996,259.458,4.2010000000000005,False,17
82,251.217,246.84799999999998,4.337,False,21
83,272.733,268.532,4.204,False,24
84,309.41,305.209,4.181,False,8
85,230.801,226.321,4.473,False,18
89,248.072,243.67700000000002,4.367,False,9
90,302.279,297.947,4.314,False,8
91,232.847,228.30900000000003,4.53,False,23
93,306.272,301.997,4.257,False,12
94,242.016,237.576,4.413,False,10
96,236.93599999999998,232.704,4.277,False,19
99,239.032,234.731,4.273,False,17
9,5.372999999999999,5.417000000000001,0.18,True,5
