level,real,user,sys,succes,boxes
0,54.354,54.347,0.772,True,4
100,5489.302,5473.111999999999,10.305,False,14
101,4848.497,4833.163,10.384,False,16
102,4955.816,4940.552,9.977,False,16
104,2972.208,2960.635,8.38,False,18
108,4162.289000000001,4148.222,9.769,False,10
10,14.802,14.862,0.708,True,5
110,107.16799999999999,106.874,0.963,True,6
11,5084.555,5069.895,9.149,True,6
12,1.452,1.59,0.659,True,5
13,4.912,5.03,0.67,True,4
14,6709.823,6690.384,12.277000000000001,False,6
16,3623.0229999999997,3610.44,9.152000000000001,False,11
17,1.6669999999999998,1.7630000000000001,0.703,True,4
18,4811.013,4796.36,9.869,False,20
19,5788.283,5770.593000000001,11.547,True,6
1,0.18600000000000003,0.271,0.7190000000000001,True,1
21,9.719,9.85,0.6679999999999999,True,4
23,103.125,102.877,0.9440000000000001,True,7
24,4620.765,4605.532,10.446,False,10
25,223.673,222.88299999999998,1.287,True,8
26,5010.418,4994.603,10.352,False,8
27,4901.327,4885.102,10.508,False,7
28,4124.167,4110.343,9.747,False,10
29,613.73,611.847,1.915,True,6
2,0.45299999999999996,0.547,0.708,True,3
30,352.024,350.9650000000001,1.466,True,6
32,4517.447,4503.204000000001,9.72,False,16
33,5001.813,4986.115,10.435,False,10
34,6581.781,6562.755999999999,11.811,False,8
35,3560.341,3547.277,9.306000000000001,False,11
36,4258.207,4243.508,10.372,False,9
37,4407.748,4393.054,10.092,False,10
38,6132.419,6114.672,11.207,False,9
39,4137.039000000001,4123.741,9.282,False,19
3,0.966,1.05,0.708,True,3
40,4606.034000000001,4591.64,9.786,False,15
41,3847.123,3833.801,9.526,False,15
43,4256.702,4243.018,9.433,False,14
44,4134.883,4121.527,9.117,False,11
45,4237.678,4223.686,9.619,False,16
46,3948.0240000000003,3934.958,9.292,False,15
47,4526.272,4511.978,9.8,False,21
48,4838.656,4823.148,10.462,False,8
49,4809.9890000000005,4795.318,9.841000000000001,False,20
4,68.05199999999999,67.867,0.884,True,4
50,4782.032,4766.765,10.48,False,20
52,4902.847,4887.727,9.992,False,13
53,4468.429,4453.87,9.996,False,11
54,5933.3859999999995,5915.882,11.082,False,9
55,635.445,633.477,1.883,True,6
56,5556.15,5539.2609999999995,10.874,False,13
57,3705.922,3692.886,9.345,False,13
58,5617.467,5602.1630000000005,9.64,False,25
59,4624.397,4609.847,9.687999999999999,False,12
60,4423.07,4408.992,9.573,False,17
61,4707.701,4693.227,9.789,False,15
63,4270.505999999999,4256.134,9.612,False,13
65,4693.656,4678.888,10.096,False,20
66,6904.59,6884.7080000000005,12.106,False,6
67,5151.402,5135.917,10.292,False,14
69,4983.994000000001,4968.854,10.099,False,16
6,0.327,0.466,0.642,True,3
71,4090.492,4076.883,9.642000000000001,False,16
72,4435.569,4421.563,9.564,False,13
73,5581.299,5564.965999999999,10.195,False,15
74,5864.272,5847.721,10.509,False,18
75,6971.125,6951.846,11.829,False,11
79,195.37900000000002,194.995,0.9640000000000001,True,6
7,7.947,8.03,0.705,True,4
81,3855.507,3842.535,9.256,False,17
82,5824.62,5808.271,10.472000000000001,False,21
83,4801.197,4786.067,9.885,False,24
84,4773.880999999999,4758.346,10.524000000000001,False,8
85,5781.852,5765.283,10.249,False,18
89,6367.880999999999,6349.401,11.472999999999999,False,9
90,4195.3,4180.956,9.889,False,8
91,5196.88,5181.363,10.245,False,23
